GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=11/18/2017
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
11111,fuelbed_11111.xml,66,230.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,90.000000,0.000000,0.800000,0.000000,90.000000,0.000000,0.050000,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.730000,11,11
11112,fuelbed_11112.xml,66,230.000000,0.077624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,90.000000,0.000000,0.800000,0.000000,90.000000,0.000000,0.100000,0.090000,0.090000,0.200000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.657624,11,11
11113,fuelbed_11113.xml,66,230.000000,0.291090,0.000000,0.271569,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,90.000000,0.000000,0.700000,0.000000,90.000000,0.000000,0.190000,0.170000,0.170000,0.400000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.792659,11,11
11114,fuelbed_11114.xml,66,230.000000,0.970299,0.000000,0.258637,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,90.000000,0.000000,0.700000,0.000000,90.000000,0.000000,0.240000,0.350000,0.350000,0.600000,0.300000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.568937,11,11
11115,fuelbed_11115.xml,66,230.000000,1.358418,0.000000,0.258637,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.290000,0.350000,0.350000,0.600000,0.300000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.107056,11,11
11116,fuelbed_11116.xml,66,230.000000,1.358418,0.000000,0.258637,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.350000,0.350000,0.350000,0.600000,0.300000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.117056,11,11
11121,fuelbed_11121.xml,66,230.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,90.000000,0.000000,0.700000,0.000000,90.000000,0.000000,0.070000,0.040000,0.050000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.810000,11,11
11122,fuelbed_11122.xml,66,230.000000,0.388120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,90.000000,0.000000,0.700000,0.000000,90.000000,0.000000,0.100000,0.090000,0.100000,0.500000,0.380000,0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.638120,11,11
11123,fuelbed_11123.xml,66,230.000000,1.455449,0.000000,0.543139,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.300000,0.170000,0.210000,0.800000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.500000,0.000000,0.000000,0.000000,10.328588,11,11
11124,fuelbed_11124.xml,66,230.000000,2.425748,0.000000,0.517275,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.350000,0.350000,0.420000,1.000000,1.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.500000,0.000000,0.000000,0.000000,12.663023,11,11
