Filename,FB_ID,FB_name,FCCS_Code,SFP,Surface_Reaction,Surface_Spread,Surface_Flamelength,CFP,Crown_Initiation,Crown_Transmissivity,Crown_Spread,AFP,Available_Flame,Available_Smolder,Available_Residual,Version
fuelbed_11111.xml,11111,"Wet flatland 0-10 yr old longleaf pine forest, 1-3 yr mFRI",300,3.3885,4.2461,3.3885,2.67,0,0,0,0,0.1605,0.1597,0.0008,0,3.0.257
fuelbed_11112.xml,11112,"Wet flatland 11-20 yr old longleaf pine forest, 1-3 yr mFRI",320,3.3656,5.3313,3.3656,3.1331,1.6887,3.113,0,0.8271,0.4236,0.3877,0.0077,0.0283,3.0.257
fuelbed_11113.xml,11113,"Wet flatland 21-40 yr old longleaf pine forest, 1-3 yr mFRI",411,3.5646,5.4342,3.5646,3.2722,1.4577,2.2699,0,1.1312,0.5685,0.4968,0.0151,0.0565,3.0.257
fuelbed_11114.xml,11114,"Wet flatland 41-60 yr old longleaf pine forest, 1-3 yr mFRI",521,5.2726,5.8977,5.2726,4.0812,1.6968,2.318,0,1.6409,0.8136,0.7042,0.0246,0.0848,3.0.257
fuelbed_11115.xml,11115,"Wet flatland 61-100 yr old longleaf pine forest, 1-3 yr mFRI",521,5.2928,5.7309,5.2928,4.0628,1.5163,1.9861,0,1.5519,0.9062,0.7968,0.0246,0.0848,3.0.257
fuelbed_11116.xml,11116,"Wet flatland >100 yr old longleaf pine forest, 1-3 yr mFRI",511,5.423,5.5725,5.423,4.0896,1.4724,1.9974,0,1.438,0.9072,0.7978,0.0246,0.0848,3.0.257
fuelbed_11121.xml,11121,"Wet flatland 0-10 yr old longleaf pine forest, 4-8 yr mFRI",400,4.0978,5.1921,4.0978,3.3677,0,0,0,0,0.4228,0.4061,0.0053,0.0115,3.0.257
fuelbed_11122.xml,11122,"Wet flatland 11-20 yr old longleaf pine forest, 4-8 yr mFRI",521,4.9109,5.4343,4.9109,3.7383,2.3532,3.6297,0,1.8607,0.6444,0.5332,0.0188,0.0925,3.0.257
fuelbed_11123.xml,11123,"Wet flatland 21-40 yr old longleaf pine forest, 4-8 yr mFRI",431,4.493,5.6398,4.493,3.7146,2.9632,2.5346,5.8419,2.4319,1.1402,0.8851,0.0833,0.1718,3.0.257
fuelbed_11124.xml,11124,"Wet flatland 41-60 yr old longleaf pine forest, 4-8 yr mFRI",431,4.3596,5.8616,4.3596,3.7633,2.8532,2.1602,5.8419,2.5495,1.4864,1.0733,0.1038,0.3093,3.0.257
fuelbed_11125.xml,11125,"Wet flatland 61-100 yr old longleaf pine forest, 4-8 yr mFRI",532,4.9046,5.5784,4.9046,3.9092,2.8667,1.9206,5.8419,2.8206,1.7871,1.3348,0.1144,0.3379,3.0.257
fuelbed_11126.xml,11126,"Wet flatland >100 yr old longleaf pine forest, 4-8 yr mFRI",532,4.6816,5.4015,4.6816,3.8197,2.7988,1.8823,5.8419,2.7004,1.8988,1.4071,0.1251,0.3666,3.0.257
fuelbed_11131.xml,11131,"Wet flatland 0-10 yr old longleaf pine forest, 9-20 yr mFRI",401,4.496,5.5437,4.496,3.706,0,0,0,0,0.5645,0.5366,0.0101,0.0178,3.0.257
fuelbed_11132.xml,11132,"Wet flatland 11-20 yr old longleaf pine forest, 9-20 yr mFRI",541,5.1952,6.3785,5.1952,4.2921,4.0837,4.4619,5.8419,3.1188,1.3117,1.1698,0.0301,0.1117,3.0.257
fuelbed_11133.xml,11133,"Wet flatland 21-40 yr old longleaf pine forest, 9-20 yr mFRI",542,5.1283,6.6031,5.1283,4.4307,4.1565,3.0262,8.1225,3.9641,2.1753,1.8981,0.0909,0.1862,3.0.257
fuelbed_11134.xml,11134,"Wet flatland 41-60 yr old longleaf pine forest, 9-20 yr mFRI",643,5.7007,6.7096,5.7007,4.7153,4.2739,2.6634,8.1225,4.6009,2.8936,2.4371,0.1136,0.3429,3.0.257
fuelbed_11135.xml,11135,"Wet flatland 61-100 yr old longleaf pine forest, 9-20 yr mFRI",543,5.4777,6.4298,5.4777,4.5686,4.1958,2.217,8.1225,4.8651,3.41,2.9127,0.1248,0.3725,3.0.257
fuelbed_11136.xml,11136,"Wet flatland >100 yr old longleaf pine forest, 9-20 yr mFRI",544,5.447,6.2099,5.447,4.53,4.2129,2.2007,8.1225,4.9213,3.51,2.9719,0.136,0.4021,3.0.257
fuelbed_13141.xml,13141,"Wet flatland 0-10 yr old broadleaf forest, >20 yr mFRI",501,4.6539,5.3109,4.6539,3.8839,0,0,0,0,0.7295,0.5234,0.1779,0.0282,3.0.257
fuelbed_13142.xml,13142,"Wet flatland 11-20 yr old broadleaf forest, >20 yr mFRI",531,4.7333,5.8059,4.7333,4.1381,2.7867,2.2746,8.8547,1.2757,1.2242,0.8359,0.1988,0.1895,3.0.257
fuelbed_13143.xml,13143,"Wet flatland 21-40 yr old broadleaf forest, >20 yr mFRI",531,5.2514,6.3129,5.2514,4.5383,2.9136,2.4793,8.8547,1.367,1.4436,1.0349,0.2052,0.2036,3.0.257
fuelbed_13144.xml,13144,"Wet flatland 41-60 yr old broadleaf forest, >20 yr mFRI",532,5.0824,6.3197,5.0824,4.4762,2.9114,2.4499,8.8547,1.3915,1.5254,1.0364,0.229,0.26,3.0.257
fuelbed_13145.xml,13145,"Wet flatland 60-100 yr old broadleaf forest, >20 yr mFRI",531,4.8075,5.8353,4.8075,4.2281,2.8504,2.3313,8.8547,1.3676,1.47,0.9399,0.2419,0.2882,3.0.257
fuelbed_13146.xml,13146,"Wet flatland >100 yr old broadleaf forest, >20 yr mFRI",531,4.5581,4.5103,4.5581,3.6922,2.6576,2.0721,8.8547,1.1771,1.3103,0.7391,0.2548,0.3164,3.0.257
fuelbed_15131.xml,15131,"Wet flatland 0-10 yr old tall evergreen shrubland, 9-20 yr mFRI",502,5.1948,4.9884,5.1948,4.0696,0.4482,0,0,1.0458,1.6764,1.2669,0.1963,0.2132,3.0.257
fuelbed_15132.xml,15132,"Wet flatland 11-20 yr old tall evergreen shrubland, 9-20 yr mFRI",742,6.9887,5.7452,6.9887,4.9903,4.3805,8.7073,0,1.5131,1.8922,1.4827,0.1963,0.2132,3.0.257
fuelbed_15133.xml,15133,"Wet flatland 21-40 yr old tall evergreen shrubland, 9-20 yr mFRI",813,8.1116,7.8468,8.1116,6.1902,0.9043,0,0,2.11,2.5094,2.0999,0.1963,0.2132,3.0.257
fuelbed_15134.xml,15134,"Wet flatland 41-60 yr old tall evergreen shrubland, 9-20 yr mFRI",853,8.4667,9,8.4667,7.1771,5.0478,9,0,2.7775,3.3619,2.9525,0.1963,0.2132,3.0.257
fuelbed_15135.xml,15135,"Wet flatland 61-100 yr old tall evergreen shrubland, 9-20 yr mFRI",943,8.5038,9,8.5038,7.0745,4.3089,7.2777,0,2.7758,3.3619,2.9525,0.1963,0.2132,3.0.257
fuelbed_15136.xml,15136,"Wet flatland >100 yr old tall evergreen shrubland, 9-20 yr mFRI",943,8.5038,9,8.5038,7.0745,4.3089,7.2777,0,2.7758,3.3619,2.9525,0.1963,0.2132,3.0.257
fuelbed_15141.xml,15141,"Wet flatland 0-10 yr old all evergreen shrubland, >20 yr mFRI",701,7.4258,5.3605,7.4258,4.863,0,0,0,0,1.4259,1.3225,0.1034,0,3.0.257
fuelbed_15142.xml,15142,"Wet flatland 11-20 yr old all evergreen shrubland, >20 yr mFRI",401,4.0733,3.395,4.0733,2.9403,0,0,0,0,0.7668,0.66,0.1068,0,3.0.257
fuelbed_15143.xml,15143,"Wet flatland 21-40 yr old all evergreen shrubland, >20 yr mFRI",631,5.9952,4.2166,5.9952,3.9199,3.0253,7.0585,0,0,1.2339,1.0359,0.1295,0.0685,3.0.257
fuelbed_15144.xml,15144,"Wet flatland 41-60 yr old all evergreen shrubland, >20 yr mFRI",733,7.232,8.0623,7.232,5.832,3.4713,8.0992,0,0,3.0084,2.7125,0.1589,0.1371,3.0.257
fuelbed_15145.xml,15145,"Wet flatland 61-100 yr old all evergreen shrubland, >20 yr mFRI",733,7.2824,7.7975,7.2824,5.7596,2.6085,6.0861,0,0,3.2584,2.794,0.1903,0.2741,3.0.257
fuelbed_15146.xml,15146,"Wet flatland >100 yr old all evergreen shrubland, >20 yr mFRI",733,7.2824,7.7975,7.2824,5.7596,2.6085,6.0861,0,0,3.2884,2.824,0.1903,0.2741,3.0.257
fuelbed_16100.xml,16100,"Wet flatland >0 yr old short shrubland, >20 yr mFRI",401,3.5031,5.9408,3.4002,3.5031,0,0,0,0,0.9338,0.7698,0.164,0,3.0.257
fuelbed_16900.xml,16900,"Wet flatland >0 yr old broadleaf forest, >20 yr mFRI",300,3.0409,2.689,3.0409,2.4459,0,0,0,0,0.3802,0.2102,0.17,0,3.0.257
fuelbed_17100.xml,17100,"Salt marsh >0 yr old mechanically mowed short shrubland, > 30 yr mFRI",900,9,8.4425,9,7.7573,0,0,0,0,0.4,0.4,0,0,3.0.257
