group,Filename,Fuelbed_number,Fuelbed_name,Benchmark_ROS,Benchmark_FL,Benchmark_RI,Benchmark_RI_Shrub,Benchmark_RI_Herb,Benchmark_RI_Wood,Benchmark_RI_LLM,Crosswalk13,ROS%13,FL%13,Crosswalk40,ROS%40,FL%40,Custom_ROS,Custom_FL,Custom_RI,Custom_RI_Shrub,Custom_RI_Herb,Custom_RI_Wood,Custom_RI_LLM,Custom_Crosswalk13,Custom_ROS%13,Custom_FL%13,Custom_Crosswalk40,Custom_ROS%40,Custom_FL%40,FCC_Code,Surface_fire_potential,Reaction_potential,Spread_potential,Flamelength_potential,Crown_fire_potential,Crown_initiation_potential,Crown-crown_trans_potential,Crownfire_spread_potential,Available_fuel_potential,Flame_available_potential,Smolder_available_potential,Residual_smolder_potential,Depth_shrub,Depth_herb,Depth_woody,Depth_LLM,Depth_surface_fuels,PercentCover_shrub,PercentCover_herb,PercentCover_woody,PercentCover_LLM,Tree_over_crown_load,Tree_mid_crown_load,Tree_under_crown_load,Tree_aboveground_load,Snag_class1_foliage_load,Snag_class1_wood_load,Snag_class1_other_load,Snag_class2_load,Snag_class3_load,Ladderfuels_load,Shrub_primary_load,Shrub_primary_crown_load,Shrub_secondary_load,Shrub_secondary_crown_load,Shrub_needleDrape_load,Herb_primary_load,Herb_secondary_load,Woody_sound_1hr_load,Woody_sound_10hr_load,Woody_sound_100hr_load,Woody_sound_1000hr_load,Woody_sound_10khr_load,Woody_sound_GT10k_load,Woody_rotten_1000hr_load,Woody_rotten_10k_load,Woody_rotten_GT10k_load,Woody_pile_load,Woody_stumps_sound_load,Woody_stumps_rotten_load,Woody_stumps_lightered_load,LLM_litter_load,LLM_lichen_load,LLM_moss_load,Ground_upperduff_load,Ground_lowerduff_load,Ground_basalaccum_load,Ground_squirrelmid_load,Total_aboveground_biomass,Total_carbon_load,Version
9,fuelbed_17100.xml,17100,"Salt marsh >0 yr old mechanically mowed short shrubland, > 30 yr mFRI",72.1724,15.0441,11136.8916,0,11136.8916,0,0,4,108.2694,84.9947,147,247.1657,130.8179,0,0,0,0,0,0,0,2,0,0,121,0,0,900,9,8.4425,9,7.7573,0,0,0,0,0.4,0.4,0,0,0,3,0,,3,0,100,0,,,,,,,,,,,,,,,,0,4,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,4,2,3.0.257
8,fuelbed_13141.xml,13141,"Wet flatland 0-10 yr old broadleaf forest, >20 yr mFRI",5.4146,3.7712,4407.1719,2034.236,1893.4481,430.4171,49.0706,9,79.3934,150.8465,189,78.4729,87.7015,0.386,0.6186,1112.1294,1020.3538,91.7755,0,0,8,23.393,61.8628,183,29.6911,68.7365,501,4.6539,5.3109,4.6539,3.8839,0,0,0,0,0.7295,0.5234,0.1779,0.0282,3,1,0.125,0.0083,1.3883,65,25,20,20,,,,,,,,,,,4.5,2.2725,,,0,0.5,,0.3,0.7,0.35,0.5,0,0,0,0,0,,,,,0.05,,,1.6,,,,8.5,2.6913,3.0.257
8,fuelbed_13142.xml,13142,"Wet flatland 11-20 yr old broadleaf forest, >20 yr mFRI",5.601,4.281,5266.8608,2553.3962,1941.1852,703.5806,68.6988,10,74.8801,91.0856,162,61.5498,138.0975,0.4171,0.709,1374.8492,1280.7599,94.0893,0,0,8,25.2786,70.8964,183,32.0844,78.7738,531,4.7333,5.8059,4.7333,4.1381,2.7867,2.2746,8.8547,1.2757,1.2242,0.8359,0.1988,0.1895,4,1,0.1667,0.0083,2.1419,75,21,20,30,15.8693,,,213.6938,,,,,,,6,3.03,,,0,0.5,,0.5,0.9,0.4,0.75,0.88,0.88,0,0,0,,,,,0.07,,,1.6,,,,226.1738,109.9269,3.0.257
8,fuelbed_13143.xml,13143,"Wet flatland 21-40 yr old broadleaf forest, >20 yr mFRI",6.8943,5.1489,6227.0801,3248.9851,1913.882,867.9306,196.2823,10,92.1699,109.552,165,94.4425,78.0143,0.5872,0.9233,1722.4264,1629.6604,92.766,0,0,8,35.5869,92.3329,183,45.168,102.5921,531,5.2514,6.3129,5.2514,4.5383,2.9136,2.4793,8.8547,1.367,1.4436,1.0349,0.2052,0.2036,5,1,0.25,0.0167,3.1211,85,18,20,40,15.8693,,,213.6938,,,,,,,8,4.04,,,0,0.5,,0.7,1,0.45,1,0.88,0.88,0,0,0,,,,,0.2,,,1.6,,,,228.9038,110.4969,3.0.257
8,fuelbed_13144.xml,13144,"Wet flatland 41-60 yr old broadleaf forest, >20 yr mFRI",6.4578,5.0092,6240.501,3499.5571,1452.5432,797.6947,490.7056,10,86.3345,106.5788,165,88.4632,75.897,0.6359,0.9871,1825.75,1755.3451,70.4048,0,0,8,38.5403,98.7093,183,48.9165,109.6769,532,5.0824,6.3197,5.0824,4.4762,2.9114,2.4499,8.8547,1.3915,1.5254,1.0364,0.229,0.26,5,1,0.25,0.0583,1.5944,45,12,20,60,15.8693,,,213.6938,,,,,,,7,3.535,,,0,0.4,,0.75,1.2,0.55,2,0.88,0.88,0,0,0,,,,,0.5,,,1.6,,,,229.4538,110.3444,3.0.257
8,fuelbed_13145.xml,13145,"Wet flatland 60-100 yr old broadleaf forest, >20 yr mFRI",5.778,4.4691,5320.4473,3008.2742,1058.5793,760.8645,492.7294,10,77.2457,95.0873,162,63.4943,144.1647,0.5684,0.8731,1560.2318,1508.9224,51.3094,0,0,8,34.4497,87.3126,183,43.7246,97.0139,531,4.8075,5.8353,4.8075,4.2281,2.8504,2.3313,8.8547,1.3676,1.47,0.9399,0.2419,0.2882,5,1,0.25,0.0833,0.6521,20,10,20,95,15.8693,,,213.6938,,,,,,,5,2.525,,,0,0.3,,0.75,1.41,0.65,2.5,0.88,0.88,0,0,0,,,,,0.7,,,1.6,,,,228.3638,109.8894,3.0.257
8,fuelbed_13146.xml,13146,"Wet flatland >100 yr old broadleaf forest, >20 yr mFRI",5.1941,3.408,3178.5757,1297.1494,681.7398,706.957,492.7294,9,76.1597,136.3203,189,75.2767,79.256,0.2434,0.403,683.6819,650.638,33.044,0,0,8,14.7517,40.3049,181,34.7719,80.6099,531,4.5581,4.5103,4.5581,3.6922,2.6576,2.0721,8.8547,1.1771,1.3103,0.7391,0.2548,0.3164,5,1,0.25,0.1,0.2367,10,7,20,95,15.8693,,,213.6938,,,,,,,2,1.01,,,0,0.2,,0.8,1.41,0.75,3,0.88,0.88,0,0,0,,,,,0.75,,,1.6,,,,225.9638,109.1069,3.0.257
8,fuelbed_15141.xml,15141,"Wet flatland 0-10 yr old all evergreen shrubland, >20 yr mFRI",13.7856,5.9123,4489.8857,3995.9084,0,1.248,492.7295,10,184.2999,125.7929,163,69.2746,93.8455,3.1912,2.1262,2004.3104,2004.3104,0,0,0,9,46.7911,85.0486,183,245.4734,236.2462,701,7.4258,5.3605,7.4258,4.863,0,0,0,0,1.4259,1.3225,0.1034,0,8,0,0.0333,0.15,5.5041,75,0,15,60,0.7229,,,0.0797,,,,,,,12,6.168,,,0,0,,0.49,0.18,0.17,0,0,0,0,0,0,,,,,2.5,,,1,,,,16.4197,5.1739,3.0.257
8,fuelbed_15142.xml,15142,"Wet flatland 11-20 yr old all evergreen shrubland, >20 yr mFRI",4.148,2.1613,1800.9464,1305.8394,0,2.3776,492.7295,9,60.8207,86.4527,183,319.0747,240.1464,0.536,0.5595,654.9969,654.9969,0,0,0,8,32.4831,55.9451,183,41.2285,62.1613,401,4.0733,3.395,4.0733,2.9403,0,0,0,0,0.7668,0.66,0.1068,0,6,0,0.0667,0.0833,2.7224,70,0,15,20,0.1536,,,0.2751,,,,,,,4,2.056,,,0,0,,0.99,0.35,0.34,0,0,0,0,0,0,,,,,1.8,,,1,,,,8.7551,2.8656,3.0.257
8,fuelbed_15143.xml,15143,"Wet flatland 21-40 yr old all evergreen shrubland, >20 yr mFRI",8.9857,3.8415,2778.0876,2282.688,0,2.6701,492.7295,9,131.7553,153.6598,146,48.3103,46.8475,1.5734,1.1871,1144.975,1144.975,0,0,0,8,95.3547,118.7063,187,68.4066,65.9479,631,5.9952,4.2166,5.9952,3.9199,3.0253,7.0585,0,0,1.2339,1.0359,0.1295,0.0685,7,0,0.125,0.1083,3.0469,75,0,15,40,0.3615,,,0.0372,,,,,,,6,3.084,,,0,0,,1.98,0.71,0.69,0.5,0.25,0.25,0,0,0,,,,,2,,,1,,,,13.4172,3.3606,3.0.257
8,fuelbed_15144.xml,15144,"Wet flatland 41-60 yr old all evergreen shrubland, >20 yr mFRI",13.0756,8.5031,10156.2334,9658.1279,0,5.376,492.7295,13,92.1465,89.5067,203,63.7834,107.6346,3.6287,3.3852,4844.4263,4844.4263,0,0,0,9,53.2071,135.4085,189,52.5902,78.7259,733,7.232,8.0623,7.232,5.832,3.4713,8.0992,0,0,3.0084,2.7125,0.1589,0.1371,8,0,0.25,0.1667,4.1892,75,0,15,95,1.8073,,,0.5069,,,,,,,20,10.28,,,0,0,,3.96,1.41,1.37,1,0.5,0.5,0,0,0,,,,,3,,,1,,,,33.2469,7.6935,3.0.257
8,fuelbed_15145.xml,15145,"Wet flatland 61-100 yr old all evergreen shrubland, >20 yr mFRI",13.2582,8.2933,9500.0361,9001.9795,0,5.3274,492.7295,13,93.4332,87.2978,202,116.2997,156.4772,3.6615,3.291,4515.3086,4515.3086,0,0,0,9,53.688,131.64,189,53.0655,76.5349,733,7.2824,7.7975,7.2824,5.7596,2.6085,6.0861,0,0,3.2584,2.794,0.1903,0.2741,10,0,0.25,0.1667,5.2336,75,0,15,95,1.8073,,,1.1627,,,,,,,20,10.28,,,0,0,,3.96,1.41,1.37,2,1,1,0,0,0,,,,,3.5,,,1,,,,36.4027,8.2713,3.0.257
8,fuelbed_15146.xml,15146,"Wet flatland >100 yr old all evergreen shrubland, >20 yr mFRI",13.2582,8.2933,9500.0361,9001.9795,0,5.3274,492.7295,13,93.4332,87.2978,202,116.2997,156.4772,3.6615,3.291,4515.3086,4515.3086,0,0,0,9,53.688,131.64,189,53.0655,76.5349,733,7.2824,7.7975,7.2824,5.7596,2.6085,6.0861,0,0,3.2884,2.824,0.1903,0.2741,10,0,0.25,0.1667,5.2336,75,0,15,95,1.8073,,,1.1627,,,,,,,20,10.28,,,0,0,,3.96,1.41,1.37,2,1,1,0,0,0,,,,,3.8,,,1,,,,36.7027,8.4213,3.0.257
8,fuelbed_16100.xml,16100,"Wet flatland >0 yr old short shrubland, >20 yr mFRI",2.8904,3.068,5514.543,2914.9934,1941.7135,249.9032,407.9324,9,42.3813,122.7198,189,41.8899,71.3487,0.1801,0.511,1556.2483,1462.1333,94.1149,0,0,8,10.916,51.0951,183,13.8549,56.7724,401,3.5031,5.9408,3.4002,3.5031,0,0,0,0,0.9338,0.7698,0.164,0,5,1,0.0167,0.0417,3.5765,85,10,20,50,,,,,,,,,,,8,4.04,,,0,0.5,,0.2,0.2,0.2,0,0,0,0,0,0,,,,,0.78,,,1.6,,,,11.48,3.94,3.0.257
8,fuelbed_16900.xml,16900,"Wet flatland >0 yr old broadleaf forest, >20 yr mFRI",2.3118,1.4956,1129.8201,629.5798,36.6811,231.0793,232.4798,8,140.1107,149.5571,161,100.5142,93.4732,0.1055,0.1951,319.4059,317.628,1.7779,0,0,8,6.3958,19.514,181,15.0759,39.028,300,3.0409,2.689,3.0409,2.4459,0,0,0,0,0.3802,0.2102,0.17,0,10,1.5,0.0417,0.0417,0.7003,10,15,20,95,,,,,,,,,,,1.46,0.7373,,,0,0.01,,0.2,0.2,0.5,0,0,0,0,0,0,,,,,0.26,,,1.6,,,,4.23,1.7837,3.0.257
7,fuelbed_11131.xml,11131,"Wet flatland 0-10 yr old longleaf pine forest, 9-20 yr mFRI",5.0535,3.4335,4801.9946,2251.6421,2255.658,55.5993,239.0955,9,74.0979,137.3408,189,73.2388,79.8493,1.5481,1.7139,3116.1001,2020.9961,1095.1039,0,0,8,93.8251,171.3923,188,33.6547,57.1308,401,4.496,5.5437,4.496,3.706,0,0,0,0,0.5645,0.5366,0.0101,0.0178,4,1,0.05,0.0333,0.6916,20,45,15,20,,,,,,,,,,,4,2.3,,,0,0.6,,0.1,0.11,0.2,0.3,0,0,0,0,0,,,,,1,,,,,,,6.31,1.95,3.0.257
7,fuelbed_11132.xml,11132,"Wet flatland 11-20 yr old longleaf pine forest, 9-20 yr mFRI",6.7476,4.6056,6357.0791,3279.0552,2516.9946,175.9541,385.075,10,90.2089,97.9914,162,74.1497,148.5676,2.1606,2.3231,4165.1475,2943.1665,1221.9808,0,0,9,31.6797,92.9234,185,63.5457,122.2676,541,5.1952,6.3785,5.1952,4.2921,4.0837,4.4619,5.8419,3.1188,1.3117,1.1698,0.0301,0.1117,6,1,0.0917,0.0417,2.0029,40,35,15,40,1.7982,,,0.6141,,,,,,,7,4.025,,,0,0.6,,0.2,0.22,0.4,0.8,0.38,0.38,0,0,0,,,,,1.75,,,,,,,12.3441,3.4945,3.0.257
7,fuelbed_11133.xml,11133,"Wet flatland 21-40 yr old longleaf pine forest, 9-20 yr mFRI",6.575,4.9077,6812.7163,3283.189,2324.4851,593.1643,611.8783,10,87.9008,104.4185,165,90.0682,74.3586,1.9504,2.2047,4075.3962,2946.8772,1128.519,0,0,9,28.5978,88.1878,185,57.3638,116.0366,542,5.1283,6.6031,5.1283,4.4307,4.1565,3.0262,8.1225,3.9641,2.1753,1.8981,0.0909,0.1862,6,1,0.1917,0.0667,3.3741,70,25,15,60,4.7202,,1.0863,15.7391,,,,,,,8,4.6,,,0,0.5,,0.5,0.45,0.45,1,0.75,0.75,0,0,0,,,,,2,,,0.5,,,,30.6391,11.8196,3.0.257
7,fuelbed_11134.xml,11134,"Wet flatland 41-60 yr old longleaf pine forest, 9-20 yr mFRI",8.1244,5.5585,7034.1494,3355.3782,2325.2493,741.6436,611.8783,10,108.6152,118.2667,165,111.2934,84.2203,2.6083,2.5417,4140.5615,3011.6714,1128.8899,0,0,9,38.245,101.6683,188,56.7024,84.7236,643,5.7007,6.7096,5.7007,4.7153,4.2739,2.6634,8.1225,4.6009,2.8936,2.4371,0.1136,0.3429,6,1,0.375,0.0833,3.2758,70,15,15,95,7.8669,,1.0345,56.8523,,,,,,,8,4.6,,,0,0.5,,0.55,0.89,0.5,1.5,1.5,1.5,0,0,0,,,,,2.25,,,0.5,,,,74.5423,32.5012,3.0.257
7,fuelbed_11135.xml,11135,"Wet flatland 61-100 yr old longleaf pine forest, 9-20 yr mFRI",7.5013,5.2179,6459.7251,3318.2043,1830.743,698.8993,611.8783,10,100.2849,111.0196,165,102.7577,79.0594,2.5225,2.4552,3867.1167,2978.3057,888.8112,0,0,9,36.9868,98.2086,185,74.1912,129.2218,543,5.4777,6.4298,5.4777,4.5686,4.1958,2.217,8.1225,4.8651,3.41,2.9127,0.1248,0.3725,6,1,0.375,0.1083,3.3225,70,10,15,95,11.0137,,1.0345,115.732,,,,,,,8,4.6,,,0,0.4,,0.55,0.89,0.55,2,1.5,1.5,0,0,0,,,,,2.5,,,0.5,,,,134.122,62.016,3.0.257
7,fuelbed_11136.xml,11136,"Wet flatland >100 yr old longleaf pine forest, 9-20 yr mFRI",7.4175,5.1302,6025.5181,3300.0232,1371.5059,742.1106,611.8783,10,99.1642,109.1535,165,101.6093,77.7305,2.4783,2.3954,3627.842,2961.9868,665.8552,0,0,9,36.3392,95.8154,185,72.8921,126.0729,544,5.447,6.2099,5.447,4.53,4.2129,2.2007,8.1225,4.9213,3.51,2.9719,0.136,0.4021,6,1,0.375,0.125,3.3464,70,10,15,95,11.0137,,1.0345,115.732,,,,,,,8,4.6,,,0,0.3,,0.6,0.89,0.6,2.5,1.5,1.5,0,0,0,,,,,3,,,0.5,,,,135.122,62.216,3.0.257
