Filename,Fuelbed_number,Fuelbed_name,Benchmark_ROS,Benchmark_FL,Benchmark_RI,Benchmark_RI_Shrub,Benchmark_RI_Herb,Benchmark_RI_Wood,Benchmark_RI_LLM,Crosswalk13,ROS%13,FL%13,Crosswalk40,ROS%40,FL%40,Custom_ROS,Custom_FL,Custom_RI,Custom_RI_Shrub,Custom_RI_Herb,Custom_RI_Wood,Custom_RI_LLM,Custom_Crosswalk13,Custom_ROS%13,Custom_FL%13,Custom_Crosswalk40,Custom_ROS%40,Custom_FL%40,FCC_Code,Surface_fire_potential,Reaction_potential,Spread_potential,Flamelength_potential,Crown_fire_potential,Crown_initiation_potential,Crown-crown_trans_potential,Crownfire_spread_potential,Available_fuel_potential,Flame_available_potential,Smolder_available_potential,Residual_smolder_potential,Depth_shrub,Depth_herb,Depth_woody,Depth_LLM,Depth_surface_fuels,PercentCover_shrub,PercentCover_herb,PercentCover_woody,PercentCover_LLM,Tree_over_crown_load,Tree_mid_crown_load,Tree_under_crown_load,Tree_aboveground_load,Snag_class1_foliage_load,Snag_class1_wood_load,Snag_class1_other_load,Snag_class2_load,Snag_class3_load,Ladderfuels_load,Shrub_primary_load,Shrub_primary_crown_load,Shrub_secondary_load,Shrub_secondary_crown_load,Shrub_needleDrape_load,Herb_primary_load,Herb_secondary_load,Woody_sound_1hr_load,Woody_sound_10hr_load,Woody_sound_100hr_load,Woody_sound_1000hr_load,Woody_sound_10khr_load,Woody_sound_GT10k_load,Woody_rotten_1000hr_load,Woody_rotten_10k_load,Woody_rotten_GT10k_load,Woody_pile_load,Woody_stumps_sound_load,Woody_stumps_rotten_load,Woody_stumps_lightered_load,LLM_litter_load,LLM_lichen_load,LLM_moss_load,Ground_upperduff_load,Ground_lowerduff_load,Ground_basalaccum_load,Ground_squirrelmid_load,Total_aboveground_biomass,Total_carbon_load,Version
fuelbed_11111.xml,11111,"Wet flatland 0-10 yr old longleaf pine forest, 1-3 yr mFRI",2.8705,1.7822,2817.0430,305.4499,2440.5950,9.8846,61.1135,8.0000,173.9681,178.2161,186.0000,65.2380,77.4853,2.8705,1.7822,2817.0430,305.4499,2440.5950,9.8846,61.1135,8.0000,173.9681,178.2161,186.0000,65.2380,77.4853,300.0000,3.3885,4.2461,3.3885,2.6700,0.0000,0.0000,0.0000,0.0000,0.1605,0.1597,0.0008,0.0000,2.0000,1.5000,0.0083,0.0083,0.7739,5.0000,80.0000,5.0000,20.0000,,,,,,,,,,,0.7500,0.4313,,,0.0000,0.8000,,0.0500,0.0400,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,0.0500,,,,,,,1.7300,0.6406,3.0.257
fuelbed_11112.xml,11112,"Wet flatland 11-20 yr old longleaf pine forest, 1-3 yr mFRI",2.8318,2.4541,4441.0249,1691.9438,2560.2993,24.8536,163.9281,9.0000,41.5224,98.1653,185.0000,83.2891,129.1649,2.8318,2.4541,4441.0249,1691.9438,2560.2993,24.8536,163.9281,9.0000,41.5224,98.1653,185.0000,83.2891,129.1649,320.0000,3.3656,5.3313,3.3656,3.1331,1.6887,3.1130,0.0000,0.8271,0.4236,0.3877,0.0077,0.0283,4.0000,1.5000,0.0167,0.0083,0.5981,10.0000,75.0000,5.0000,40.0000,0.0776,,,0.2516,,,,,,,3.0000,1.7250,,,0.0000,0.8000,,0.1000,0.0900,0.0900,0.2000,0.1000,0.1000,0.0000,0.0000,0.0000,,,,,0.1000,,,,,,,4.8316,1.4383,3.0.257
fuelbed_11113.xml,11113,"Wet flatland 21-40 yr old longleaf pine forest, 1-3 yr mFRI",3.1766,2.6769,4614.0977,1662.3702,2398.5542,62.7517,490.4219,9.0000,46.5783,107.0744,188.0000,69.0573,89.2286,3.1766,2.6769,4614.0977,1662.3702,2398.5542,62.7517,490.4219,9.0000,46.5783,107.0744,188.0000,69.0573,89.2286,411.0000,3.5646,5.4342,3.5646,3.2722,1.4577,2.2699,0.0000,1.1312,0.5685,0.4968,0.0151,0.0565,4.0000,1.5000,0.0417,0.0167,0.6414,15.0000,65.0000,5.0000,60.0000,0.2911,,0.2716,5.2908,,,,,,,3.0000,1.7250,,,0.0000,0.7000,,0.1900,0.1700,0.1700,0.4000,0.2000,0.2000,0.0000,0.0000,0.0000,,,,,0.2000,,,,,,,10.5208,3.9579,3.0.257
fuelbed_11114.xml,11114,"Wet flatland 41-60 yr old longleaf pine forest, 1-3 yr mFRI",6.9502,4.1640,5434.8379,1701.8479,2516.3164,112.2082,1104.4658,10.0000,92.9169,88.5963,162.0000,76.3756,134.3234,6.9502,4.1640,5434.8379,1701.8479,2516.3164,112.2082,1104.4658,10.0000,92.9169,88.5963,162.0000,76.3756,134.3234,521.0000,5.2726,5.8977,5.2726,4.0812,1.6968,2.3180,0.0000,1.6409,0.8136,0.7042,0.0246,0.0848,4.0000,1.5000,0.0833,0.0583,0.6148,15.0000,65.0000,5.0000,95.0000,0.9703,,0.2586,20.7561,,,,,,,3.0000,1.7250,,,0.0000,0.7000,,0.2400,0.3500,0.3500,0.6000,0.3000,0.3000,0.0000,0.0000,0.0000,,,,,0.5000,,,,,,,27.0961,11.8405,3.0.257
fuelbed_11115.xml,11115,"Wet flatland 61-100 yr old longleaf pine forest, 1-3 yr mFRI",7.0034,4.1267,5131.7744,1711.8176,2181.8708,133.6204,1104.4658,10.0000,93.6288,87.8017,162.0000,76.9608,133.1186,7.0034,4.1267,5131.7744,1711.8176,2181.8708,133.6204,1104.4658,10.0000,93.6288,87.8017,162.0000,76.9608,133.1186,521.0000,5.2928,5.7309,5.2928,4.0628,1.5163,1.9861,0.0000,1.5519,0.9062,0.7968,0.0246,0.0848,4.0000,1.5000,0.0833,0.0833,0.5905,15.0000,65.0000,5.0000,95.0000,1.3584,,0.2586,41.8676,,,,,,,3.0000,1.7250,,,0.0000,0.6000,,0.2900,0.3500,0.3500,0.6000,0.3000,0.3000,0.0000,0.0000,0.0000,,,,,0.7000,,,,,,,48.3576,22.4463,3.0.257
fuelbed_11116.xml,11116,"Wet flatland >100 yr old longleaf pine forest, 1-3 yr mFRI",7.3522,4.1812,4851.9482,1726.3312,1855.1104,166.0411,1104.4658,10.0000,98.2918,88.9622,162.0000,80.7937,134.8781,7.3522,4.1812,4851.9482,1726.3312,1855.1104,166.0411,1104.4658,10.0000,98.2918,88.9622,162.0000,80.7937,134.8781,511.0000,5.4230,5.5725,5.4230,4.0896,1.4724,1.9974,0.0000,1.4380,0.9072,0.7978,0.0246,0.0848,4.0000,1.5000,0.0833,0.1000,0.5633,15.0000,65.0000,5.0000,95.0000,1.3584,,0.2586,41.8676,,,,,,,3.0000,1.7250,,,0.0000,0.5000,,0.3500,0.3500,0.3500,0.6000,0.3000,0.3000,0.0000,0.0000,0.0000,,,,,0.7500,,,,,,,48.3676,22.4213,3.0.257
fuelbed_11121.xml,11121,"Wet flatland 0-10 yr old longleaf pine forest, 4-8 yr mFRI",4.1981,2.8354,4212.1548,1500.2782,2410.0579,21.7609,280.0580,9.0000,61.5554,113.4156,189.0000,60.8417,65.9393,4.1981,2.8354,4212.1548,1500.2782,2410.0579,21.7609,280.0580,9.0000,61.5554,113.4156,189.0000,60.8417,65.9393,400.0000,4.0978,5.1921,4.0978,3.3677,0.0000,0.0000,0.0000,0.0000,0.4228,0.4061,0.0053,0.0115,4.0000,1.0000,0.0250,0.0083,1.4570,45.0000,65.0000,10.0000,20.0000,,,,,,,,,,,3.5000,2.0125,,,0.0000,0.7000,,0.0700,0.0400,0.0500,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,0.2500,,,,,,,4.8100,1.4813,3.0.257
fuelbed_11122.xml,11122,"Wet flatland 11-20 yr old longleaf pine forest, 4-8 yr mFRI",6.0291,3.4938,4614.3145,1529.0438,2557.6714,43.6845,483.9143,9.0000,88.4034,139.7523,189.0000,87.3785,81.2513,6.0291,3.4938,4614.3145,1529.0438,2557.6714,43.6845,483.9143,9.0000,88.4034,139.7523,189.0000,87.3785,81.2513,521.0000,4.9109,5.4343,4.9109,3.7383,2.3532,3.6297,0.0000,1.8607,0.6444,0.5332,0.0188,0.0925,4.0000,1.0000,0.0500,0.0167,1.4076,45.0000,55.0000,10.0000,40.0000,0.3881,,,0.3020,,,,,,,3.5000,2.0125,,,0.0000,0.7000,,0.1000,0.0900,0.1000,0.5000,0.3800,0.3800,0.0000,0.0000,0.0000,,,,,0.5000,,,,,,,6.5520,1.7572,3.0.257
fuelbed_11123.xml,11123,"Wet flatland 21-40 yr old longleaf pine forest, 4-8 yr mFRI",5.0467,3.4496,4969.9541,1595.7983,2470.6201,196.7990,706.7367,9.0000,73.9984,137.9848,189.0000,73.1405,80.2237,5.0467,3.4496,4969.9541,1595.7983,2470.6201,196.7990,706.7367,9.0000,73.9984,137.9848,189.0000,73.1405,80.2237,431.0000,4.4930,5.6398,4.4930,3.7146,2.9632,2.5346,5.8419,2.4319,1.1402,0.8851,0.0833,0.1718,4.0000,1.0000,0.1083,0.0250,1.3070,45.0000,45.0000,10.0000,60.0000,1.4554,,0.5431,11.5195,,,,,,,3.5000,2.0125,,,0.0000,0.6000,,0.3000,0.1700,0.2100,0.8000,0.7500,0.7500,0.0000,0.0000,0.0000,,,,,0.7500,,,0.5000,,,,19.8495,7.8410,3.0.257
fuelbed_11124.xml,11124,"Wet flatland 41-60 yr old longleaf pine forest, 4-8 yr mFRI",4.7516,3.5406,5368.5806,1600.2733,2647.2253,349.1477,771.9344,9.0000,69.6709,141.6234,189.0000,68.8631,82.3392,4.7516,3.5406,5368.5806,1600.2733,2647.2253,349.1477,771.9344,9.0000,69.6709,141.6234,189.0000,68.8631,82.3392,431.0000,4.3596,5.8616,4.3596,3.7633,2.8532,2.1602,5.8419,2.5495,1.4864,1.0733,0.1038,0.3093,4.0000,1.0000,0.2083,0.0667,0.3146,10.0000,35.0000,10.0000,95.0000,2.4257,,0.5173,41.3757,,,,,,,2.5000,1.4375,,,0.0000,0.6000,,0.3500,0.3500,0.4200,1.0000,1.5000,1.5000,0.0000,0.0000,0.0000,,,,,1.0000,,,0.5000,,,,51.0957,22.6066,3.0.257
